Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,07/16/20,VT,-0.56079531,Consolidated,-0.196656972
Time Period Benchmark Comparison,Data,07/17/20,VT,0.358882338,Consolidated,-0.177936748
Time Period Benchmark Comparison,Data,07/20/20,VT,0.804597701,Consolidated,0.114446059
Time Period Benchmark Comparison,Data,07/21/20,VT,0.380083618,Consolidated,0.203150269
Time Period Benchmark Comparison,Data,07/22/20,VT,0.403887416,Consolidated,0.001015308
Time Period Benchmark Comparison,Data,07/23/20,VT,-1.055939661,Consolidated,-0.038045439
Time Period Benchmark Comparison,Data,07/24/20,VT,-0.53360437,Consolidated,-0.15940735
Time Period Benchmark Comparison,Data,07/27/20,VT,1.072933963,Consolidated,0.062146348
Time Period Benchmark Comparison,Data,07/28/20,VT,-0.682421332,Consolidated,-0.011417382
Time Period Benchmark Comparison,Data,07/29/20,VT,1.272426517,Consolidated,0.41127528
Time Period Benchmark Comparison,Data,07/30/20,VT,-0.653348411,Consolidated,-0.316737953
Time Period Benchmark Comparison,Data,07/31/20,VT,-0.39205767,Consolidated,-0.013114119
Time Period Benchmark Comparison,Data,08/03/20,VT,1.168105637,Consolidated,0.201489528
Time Period Benchmark Comparison,Data,08/04/20,VT,0.502008032,Consolidated,0.06733552
Time Period Benchmark Comparison,Data,08/05/20,VT,0.674325674,Consolidated,0.312967879
Time Period Benchmark Comparison,Data,08/06/20,VT,0.43413545,Consolidated,-0.127831721
Time Period Benchmark Comparison,Data,08/07/20,VT,-0.345807089,Consolidated,0.161561692
Time Period Benchmark Comparison,Data,08/10/20,VT,0.272648407,Consolidated,0.118189562
Time Period Benchmark Comparison,Data,08/11/20,VT,-0.308985292,Consolidated,0.066706847
Time Period Benchmark Comparison,Data,08/12/20,VT,1.500123977,Consolidated,0.161812243
Time Period Benchmark Comparison,Data,08/13/20,VT,-0.2687187,Consolidated,-0.293126999
Time Period Benchmark Comparison,Data,08/14/20,VT,-0.183710961,Consolidated,0.054886727
Time Period Benchmark Comparison,Data,08/17/20,VT,0.613496933,Consolidated,-0.164679971
Time Period Benchmark Comparison,Data,08/18/20,VT,0.085365854,Consolidated,-0.138635962
Time Period Benchmark Comparison,Data,08/19/20,VT,-0.499573535,Consolidated,0.014405997
Time Period Benchmark Comparison,Data,08/20/20,VT,0.024491795,Consolidated,-0.037105408
Time Period Benchmark Comparison,Data,08/21/20,VT,0.097943193,Consolidated,-0.090247997
Time Period Benchmark Comparison,Data,08/24/20,VT,1.03962818,Consolidated,0.44116983
Time Period Benchmark Comparison,Data,08/25/20,VT,0.351047089,Consolidated,0.009151263
Time Period Benchmark Comparison,Data,08/26/20,VT,0.784077201,Consolidated,0.150115818
Time Period Benchmark Comparison,Data,08/27/20,VT,-0.227408737,Consolidated,0.325080705
Time Period Benchmark Comparison,Data,08/28/20,VT,0.731765835,Consolidated,0.338410185
Time Period Benchmark Comparison,Data,08/31/20,VT,-0.571632726,Consolidated,-0.158414579
Time Period Benchmark Comparison,Data,09/01/20,VT,0.754581387,Consolidated,0.026331674
Time Period Benchmark Comparison,Data,09/02/20,VT,1.129339039,Consolidated,0.441696951
Time Period Benchmark Comparison,Data,09/03/20,VT,-2.997531445,Consolidated,-0.627672472
Time Period Benchmark Comparison,Data,09/04/20,VT,-0.375666505,Consolidated,0.193595997
Time Period Benchmark Comparison,Data,09/07/20,VT,0,Consolidated,0.011830973
Time Period Benchmark Comparison,Data,09/08/20,VT,-2.311154361,Consolidated,-1.033251795
Time Period Benchmark Comparison,Data,09/09/20,VT,1.830407172,Consolidated,0.423722402
Time Period Benchmark Comparison,Data,09/10/20,VT,-1.406211788,Consolidated,-0.449222834
Time Period Benchmark Comparison,Data,09/11/20,VT,0.396874612,Consolidated,0.275441584
Time Period Benchmark Comparison,Data,09/14/20,VT,1.26003706,Consolidated,0.509303134
Time Period Benchmark Comparison,Data,09/15/20,VT,0.58558009,Consolidated,-0.354647992
Time Period Benchmark Comparison,Data,09/16/20,VT,-0.169799879,Consolidated,0.105981359
Time Period Benchmark Comparison,Data,09/17/20,VT,-0.534564451,Consolidated,-0.216354977
Time Period Benchmark Comparison,Data,09/18/20,VT,-0.879443019,Consolidated,-0.231959567
Time Period Benchmark Comparison,Data,09/21/20,VT,-1.451016636,Consolidated,-0.403124741
Time Period Benchmark Comparison,Data,09/22/20,VT,0.464999372,Consolidated,0.210622447
Time Period Benchmark Comparison,Data,09/23/20,VT,-1.926444834,Consolidated,-0.76066251
Time Period Benchmark Comparison,Data,09/24/20,VT,0.051020408,Consolidated,0.050812818
Time Period Benchmark Comparison,Data,09/25/20,VT,1.096379398,Consolidated,0.688381146
Time Period Benchmark Comparison,Data,09/28/20,VT,1.57629256,Consolidated,0.735150457
Time Period Benchmark Comparison,Data,09/29/20,VT,-0.360024829,Consolidated,-0.241183865
Time Period Benchmark Comparison,Data,09/30/20,VT,0.473461251,Consolidated,0.125502732
Time Period Benchmark Comparison,Data,10/01/20,VT,0.806051587,Consolidated,0.008936173
Time Period Benchmark Comparison,Data,10/02/20,VT,-0.639685078,Consolidated,-0.23478553
Time Period Benchmark Comparison,Data,10/05/20,VT,1.646650984,Consolidated,0.656162237
